entrada,respuesta,sentimiento_entrada,confianza_entrada,sentimiento_respuesta,confianza_respuesta
¿Por qué insistes tanto?,Me pones nerviosa… ¡pero no finjas que no te importa!,POS,0.88,NEG,0.53
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.92,NEG,0.97
¿Por qué insistes tanto?,"Está bien… gracias, supongo. ¡No te emociones!",POS,0.77,NEG,0.77
"No es que me importe, pero...",¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,POS,0.63,POS,0.99
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEU,0.95,POS,0.64
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",POS,0.97,POS,0.6
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEG,0.52,NEU,0.97
Siento que voy a explotar...,"¿Exagerando? ¡N-no es así, tonto!",POS,0.52,NEG,0.91
Estoy cansada de repetirlo.,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEG,0.94,POS,0.87
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEU,0.82,NEG,0.6
¡Déjame en paz un rato!,"Tch, me estoy cansando de tus preguntas...",NEU,0.55,NEG,0.74
No te me acerques tanto...,"Solo soy un poco dramática, no finjas que no te he dicho nada.",NEU,0.68,POS,0.88
¿Por qué no entiendes que me siento mal?,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEG,0.59,NEU,0.55
¡No sé cómo reaccionar ante esto!,"¿Exagerando? ¡N-no es así, tonto!",NEU,0.64,NEU,0.51
No es tan fácil como parece.,"Solo soy un poco dramática, no finjas que no te he dicho nada.",NEU,0.73,NEU,0.67
¡Ya basta! No quiero hablar de eso.,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,POS,0.59,NEG,0.73
Estoy cansada de repetirlo.,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEU,0.69,POS,0.71
¿Qué se supone que quieres de mí?,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,POS,0.52,POS,0.56
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",POS,0.97,NEU,0.84
No te me acerques tanto...,No me malinterpretes… ¡pero aprecio que preguntes!,NEG,0.93,NEU,0.88
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.55,NEU,0.52
¡No me gusta cuando me miras así!,"No es que me duela, ¡solo me incomoda tu actitud!",NEG,0.72,NEU,0.85
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEU,0.61,POS,0.74
No te me acerques tanto...,"Ay, cállate un poco, que me haces sonrojar.",POS,0.64,POS,0.6
"No es que me importe, pero...",Me pones en un aprieto… ¡pero no te emociones!,POS,0.81,POS,0.96
"No es que me importe, pero...","¿Exagerando? ¡N-no es así, tonto!",NEG,0.55,NEG,0.55
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEG,0.76,NEG,0.88
Siento que voy a explotar...,No me malinterpretes… ¡pero aprecio que preguntes!,NEU,0.84,NEU,0.66
"No es que me importe, pero...",No me malinterpretes… ¡pero aprecio que preguntes!,POS,0.81,POS,0.61
No es tan fácil como parece.,"Está bien… gracias, supongo. ¡No te emociones!",POS,0.77,NEG,0.69
Estoy cansada de repetirlo.,No me malinterpretes… ¡pero aprecio que preguntes!,NEG,0.55,POS,0.98
No te me acerques tanto...,"Está bien… gracias, supongo. ¡No te emociones!",POS,0.88,NEG,0.89
Estoy cansada de repetirlo.,Me pones en un aprieto… ¡pero no te emociones!,NEU,0.8,POS,0.97
¿Por qué insistes tanto?,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEG,0.88,POS,0.67
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.52,POS,0.74
No es tan fácil como parece.,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEU,0.8,NEG,0.88
No estoy de humor para tus bromas.,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEU,0.69,NEG,0.66
¡No me gusta cuando me miras así!,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,POS,0.99,NEU,0.68
¡No sé cómo reaccionar ante esto!,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEG,0.53,NEU,0.63
¡Ya basta! No quiero hablar de eso.,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEU,0.99,POS,0.99
Siento que voy a explotar...,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",NEU,0.78,POS,0.91
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEU,0.72,NEU,0.57
¡No sé cómo reaccionar ante esto!,"¿Molestarte? ¡No seas dramático, pero cállate ya!",POS,0.55,NEU,0.94
¡¿Por qué me miras tanto?!,"Ay, cállate un poco, que me haces sonrojar.",NEU,0.9,NEG,0.51
Estoy cansada de repetirlo.,"¡Vamos! ¡No es tan grave, solo déjame en paz!",POS,0.94,NEU,0.6
¿Qué se supone que quieres de mí?,"Solo soy un poco dramática, no finjas que no te he dicho nada.",NEG,0.93,POS,0.99
¡No sé cómo reaccionar ante esto!,"Ay, cállate un poco, que me haces sonrojar.",POS,0.65,NEU,0.72
¡Déjame en paz un rato!,No es que me esfuerce pensando en ti… pero algo me molesta.,NEU,0.6,NEU,0.56
"No es que me importe, pero...",No es que me esfuerce pensando en ti… pero algo me molesta.,NEU,0.65,NEG,0.9
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.6,NEU,0.72
No es tan fácil como parece.,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEU,0.92,NEU,0.94
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",POS,0.74,NEG,0.54
Siento que voy a explotar...,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",POS,0.6,NEG,0.54
No es tan fácil como parece.,"Está bien… gracias, supongo. ¡No te emociones!",NEG,0.67,NEG,0.73
¡Ya basta! No quiero hablar de eso.,Me pones nerviosa… ¡pero no finjas que no te importa!,NEG,0.55,NEU,0.56
¿Crees que estoy exagerando?,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEU,0.98,NEG,0.89
"No es que me importe, pero...","Está bien… gracias, supongo. ¡No te emociones!",POS,0.85,NEG,0.86
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.99,POS,0.78
No es tan fácil como parece.,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEU,0.63,POS,0.94
¡No sé cómo reaccionar ante esto!,Me pones nerviosa… ¡pero no finjas que no te importa!,POS,0.52,POS,0.65
No te me acerques tanto...,"No soy tan frágil como parezco, solo un poco sensible.",NEG,0.84,NEU,0.56
Siento que voy a explotar...,¡Tú también eres un poco raro! ¡No te preocupes por mí!,POS,0.86,POS,0.89
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEG,0.83,NEG,0.51
No te me acerques tanto...,"¿Exagerando? ¡N-no es así, tonto!",NEG,0.78,NEU,0.87
Siento que voy a explotar...,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",POS,0.54,NEG,0.51
No te me acerques tanto...,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEG,0.96,POS,0.78
"No es que me importe, pero...","¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",POS,0.86,POS,0.52
Estoy cansada de repetirlo.,"¡Vamos! ¡No es tan grave, solo déjame en paz!",POS,0.83,POS,0.76
Estoy cansada de repetirlo.,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,POS,0.9,POS,0.91
Estoy cansada de repetirlo.,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEU,0.65,NEU,0.69
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.55,NEU,0.97
¡¿Por qué me miras tanto?!,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEG,0.85,NEG,0.73
No te me acerques tanto...,Me pones en un aprieto… ¡pero no te emociones!,NEU,0.84,NEG,0.74
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.5,NEU,0.76
¡Déjame en paz un rato!,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEU,0.77,NEU,0.97
No es tan fácil como parece.,No me malinterpretes… ¡pero aprecio que preguntes!,NEU,0.67,NEU,0.73
No te me acerques tanto...,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEU,0.59,NEU,0.76
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.72,NEU,0.6
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",POS,0.73,NEG,0.99
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",POS,0.69,NEU,0.55
¡¿Por qué me miras tanto?!,"¿Exagerando? ¡N-no es así, tonto!",NEG,0.99,POS,0.98
No estoy de humor para tus bromas.,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEU,0.72,NEG,0.65
¡No sé cómo reaccionar ante esto!,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEG,0.56,NEU,0.72
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.82,NEG,0.73
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEU,0.6,POS,0.57
No estoy de humor para tus bromas.,"No soy tan frágil como parezco, solo un poco sensible.",POS,0.61,NEG,0.84
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEU,0.63,NEG,0.8
No estoy de humor para tus bromas.,"Está bien… gracias, supongo. ¡No te emociones!",NEG,0.59,POS,0.52
¿Crees que estoy exagerando?,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEG,0.89,NEU,0.66
¿Por qué insistes tanto?,"No es que me duela, ¡solo me incomoda tu actitud!",POS,0.6,NEG,0.9
¡No sé cómo reaccionar ante esto!,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEG,0.6,NEG,0.63
"No es que me importe, pero...","¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEG,0.84,NEU,0.76
Estoy cansada de repetirlo.,Me pones en un aprieto… ¡pero no te emociones!,NEG,0.56,NEU,0.97
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",POS,0.78,NEG,0.73
No estoy de humor para tus bromas.,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEG,0.97,NEU,0.96
¿Crees que estoy exagerando?,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEU,0.63,NEG,0.97
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEU,0.89,NEG,0.71
"No es que me importe, pero...",¡Tú también eres un poco raro! ¡No te preocupes por mí!,POS,0.84,NEG,0.74
¿Crees que estoy exagerando?,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEU,0.95,NEU,0.6
Siento que voy a explotar...,"Tch, me estoy cansando de tus preguntas...",NEG,0.97,POS,0.88
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.89,NEG,0.65
¿Crees que estoy exagerando?,¡Tú también eres un poco raro! ¡No te preocupes por mí!,POS,0.5,NEG,0.98
¡No sé cómo reaccionar ante esto!,"Tch, me estoy cansando de tus preguntas...",POS,0.71,NEU,0.85
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEG,0.62,POS,0.93
¡No me gusta cuando me miras así!,"No soy tan frágil como parezco, solo un poco sensible.",POS,0.54,NEU,1.0
"No es que me importe, pero...","¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEG,0.57,NEG,0.99
"No es que me importe, pero...",¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEU,0.83,POS,0.65
¡No me gusta cuando me miras así!,¡Tú también eres un poco raro! ¡No te preocupes por mí!,POS,0.72,NEG,0.68
¡¿Por qué me miras tanto?!,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",NEG,0.87,NEG,0.56
¿Crees que estoy exagerando?,"¿Exagerando? ¡N-no es así, tonto!",NEG,0.61,POS,0.68
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEU,0.91,NEU,0.85
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.77,NEG,0.59
"No es que me importe, pero...","¡Vamos! ¡No es tan grave, solo déjame en paz!",NEU,0.55,NEG,0.64
No te me acerques tanto...,"Solo soy un poco dramática, no finjas que no te he dicho nada.",POS,0.56,NEU,0.72
No te me acerques tanto...,"¡Vamos! ¡No es tan grave, solo déjame en paz!",POS,0.78,NEG,0.79
Estoy cansada de repetirlo.,No es que me esfuerce pensando en ti… pero algo me molesta.,POS,0.82,NEG,0.9
¡Déjame en paz un rato!,"Solo soy un poco dramática, no finjas que no te he dicho nada.",NEG,0.91,NEU,0.51
No es tan fácil como parece.,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEU,0.91,NEG,0.96
¿Por qué no entiendes que me siento mal?,"No soy tan frágil como parezco, solo un poco sensible.",POS,0.79,NEU,0.82
¡Ya basta! No quiero hablar de eso.,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",POS,0.79,NEU,0.8
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEG,0.56,POS,0.52
¿Qué se supone que quieres de mí?,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",POS,0.81,POS,0.92
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.97,NEG,0.8
No estoy de humor para tus bromas.,Me pones nerviosa… ¡pero no finjas que no te importa!,NEU,0.65,POS,0.76
No te me acerques tanto...,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEU,0.88,NEG,0.53
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEU,0.69,POS,0.75
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEU,0.9,NEU,0.6
"No es que me importe, pero...","Ay, cállate un poco, que me haces sonrojar.",POS,0.56,NEU,0.69
¡Déjame en paz un rato!,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEG,0.9,NEG,0.51
¡No sé cómo reaccionar ante esto!,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",NEG,0.6,POS,0.51
No te me acerques tanto...,"No soy tan frágil como parezco, solo un poco sensible.",NEU,0.71,POS,0.64
No te me acerques tanto...,"¿Exagerando? ¡N-no es así, tonto!",POS,0.69,POS,0.66
No te me acerques tanto...,"Ay, cállate un poco, que me haces sonrojar.",NEU,0.52,POS,0.98
¿Por qué insistes tanto?,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEG,0.6,NEU,0.95
¿Por qué no entiendes que me siento mal?,"¿Exagerando? ¡N-no es así, tonto!",NEG,0.79,POS,0.66
¡¿Por qué me miras tanto?!,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEU,0.92,NEG,0.87
Siento que voy a explotar...,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEU,0.68,NEU,0.53
Estoy cansada de repetirlo.,No me malinterpretes… ¡pero aprecio que preguntes!,NEG,0.56,POS,0.86
No te me acerques tanto...,"No es que me duela, ¡solo me incomoda tu actitud!",NEU,0.99,POS,0.83
¡¿Por qué me miras tanto?!,"Solo soy un poco dramática, no finjas que no te he dicho nada.",POS,0.77,NEG,0.94
"No es que me importe, pero...",No me malinterpretes… ¡pero aprecio que preguntes!,POS,0.77,NEG,0.62
¡No me gusta cuando me miras así!,"¿Molestarte? ¡No seas dramático, pero cállate ya!",POS,0.62,POS,0.68
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEU,0.67,POS,0.97
¿Qué se supone que quieres de mí?,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEG,0.86,NEG,0.58
¿Por qué no entiendes que me siento mal?,Me pones nerviosa… ¡pero no finjas que no te importa!,NEG,0.62,NEG,0.52
No es tan fácil como parece.,Me pones nerviosa… ¡pero no finjas que no te importa!,POS,0.68,POS,0.93
¿Por qué insistes tanto?,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEG,0.8,POS,0.58
Estoy cansada de repetirlo.,"Ay, cállate un poco, que me haces sonrojar.",POS,0.77,NEU,0.61
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.75,NEG,0.97
Siento que voy a explotar...,"No es que me duela, ¡solo me incomoda tu actitud!",POS,0.78,NEU,0.86
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,POS,0.62,NEU,0.81
¿Crees que estoy exagerando?,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",NEG,0.59,NEU,0.76
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEG,0.82,NEG,0.68
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEU,0.84,POS,0.94
¡No sé cómo reaccionar ante esto!,"Ay, cállate un poco, que me haces sonrojar.",NEU,0.5,NEG,0.78
¿Crees que estoy exagerando?,"¿Exagerando? ¡N-no es así, tonto!",POS,0.66,NEG,0.58
¿Qué se supone que quieres de mí?,Me pones nerviosa… ¡pero no finjas que no te importa!,NEG,0.78,NEU,0.98
¿Crees que estoy exagerando?,"Tch, me estoy cansando de tus preguntas...",POS,0.77,NEU,0.72
¿Por qué no entiendes que me siento mal?,"¡Vamos! ¡No es tan grave, solo déjame en paz!",POS,0.88,POS,0.75
¡Déjame en paz un rato!,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEG,0.76,NEG,0.59
Siento que voy a explotar...,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEG,0.56,NEU,0.91
No te me acerques tanto...,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEG,0.62,NEG,0.77
Siento que voy a explotar...,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEG,0.71,NEU,0.61
Siento que voy a explotar...,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEU,0.98,POS,0.84
¡Déjame en paz un rato!,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEU,0.95,POS,0.61
¡¿Por qué me miras tanto?!,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEU,0.72,NEU,0.64
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEG,0.86,NEU,0.88
No te me acerques tanto...,"Tch, me estoy cansando de tus preguntas...",NEU,0.85,POS,0.94
¡Déjame en paz un rato!,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",POS,0.74,NEG,0.73
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.95,POS,0.82
No estoy de humor para tus bromas.,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEU,0.68,NEU,0.78
¿Por qué no entiendes que me siento mal?,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEU,0.59,NEU,0.57
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEG,0.97,NEU,0.56
"No es que me importe, pero...","Solo soy un poco dramática, no finjas que no te he dicho nada.",POS,0.9,NEU,0.56
¿Qué se supone que quieres de mí?,"¿Exagerando? ¡N-no es así, tonto!",POS,0.86,POS,0.61
¡Déjame en paz un rato!,"Tch, me estoy cansando de tus preguntas...",POS,0.61,NEU,0.89
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEG,0.71,NEU,0.93
¡Ya basta! No quiero hablar de eso.,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEG,0.82,NEG,0.87
¡Ya basta! No quiero hablar de eso.,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEG,0.74,POS,0.51
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",POS,0.59,POS,0.91
¡Déjame en paz un rato!,"No soy tan frágil como parezco, solo un poco sensible.",NEG,0.73,NEU,0.81
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.91,NEU,0.6
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.93,NEG,0.62
¿Crees que estoy exagerando?,"No es que me duela, ¡solo me incomoda tu actitud!",NEG,0.98,POS,0.65
¡¿Por qué me miras tanto?!,"Solo soy un poco dramática, no finjas que no te he dicho nada.",NEU,0.84,POS,0.66
Estoy cansada de repetirlo.,No es que me esfuerce pensando en ti… pero algo me molesta.,NEG,0.71,NEU,0.88
¡No sé cómo reaccionar ante esto!,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEG,0.82,POS,0.61
¡Déjame en paz un rato!,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",NEU,0.96,NEU,0.65
¡Ya basta! No quiero hablar de eso.,"Tch, me estoy cansando de tus preguntas...",POS,0.98,POS,0.79
Siento que voy a explotar...,"No es que me duela, ¡solo me incomoda tu actitud!",NEU,0.87,NEG,0.6
¡Ya basta! No quiero hablar de eso.,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",POS,0.67,POS,0.86
¿Por qué insistes tanto?,No es que me esfuerce pensando en ti… pero algo me molesta.,NEU,0.96,NEG,0.54
¿Qué se supone que quieres de mí?,"Ay, cállate un poco, que me haces sonrojar.",NEG,0.7,NEU,0.73
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEU,0.52,NEG,0.82
¡Ya basta! No quiero hablar de eso.,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEU,0.98,NEG,0.96
¿Por qué insistes tanto?,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEU,0.56,NEG,0.56
¡No sé cómo reaccionar ante esto!,"Tch, me estoy cansando de tus preguntas...",NEU,0.67,POS,0.89
Estoy cansada de repetirlo.,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEG,0.84,NEG,0.65
No estoy de humor para tus bromas.,Me pones nerviosa… ¡pero no finjas que no te importa!,NEU,0.99,POS,0.82
¡¿Por qué me miras tanto?!,"No soy tan frágil como parezco, solo un poco sensible.",NEG,1.0,NEU,0.84
¡Ya basta! No quiero hablar de eso.,"No soy tan frágil como parezco, solo un poco sensible.",NEU,0.71,POS,0.99
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEU,0.63,NEU,0.71
¿Por qué no entiendes que me siento mal?,"No es que me duela, ¡solo me incomoda tu actitud!",NEG,0.96,POS,0.88
No es tan fácil como parece.,"No soy tan frágil como parezco, solo un poco sensible.",NEG,0.91,POS,0.96
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEU,0.98,NEU,0.62
No es tan fácil como parece.,Me pones nerviosa… ¡pero no finjas que no te importa!,POS,0.73,POS,0.9
Siento que voy a explotar...,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEG,0.63,POS,0.79
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.59,POS,0.91
No es tan fácil como parece.,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEG,0.69,NEU,0.58
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.89,POS,0.92
No estoy de humor para tus bromas.,Me pones en un aprieto… ¡pero no te emociones!,POS,0.59,NEU,0.63
¿Por qué no entiendes que me siento mal?,"¡¿Por qué?! ¡No me mires así, pervertido/a!",POS,0.75,NEG,0.56
¿Por qué no entiendes que me siento mal?,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEU,0.67,POS,0.8
¿Qué se supone que quieres de mí?,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,POS,0.57,POS,0.77
¡No sé cómo reaccionar ante esto!,No es que me esfuerce pensando en ti… pero algo me molesta.,NEU,0.95,POS,0.54
¿Qué se supone que quieres de mí?,"Solo soy un poco dramática, no finjas que no te he dicho nada.",POS,0.97,NEU,0.85
¡Déjame en paz un rato!,Me pones en un aprieto… ¡pero no te emociones!,NEU,0.72,POS,0.84
¿Qué se supone que quieres de mí?,"No es que me duela, ¡solo me incomoda tu actitud!",NEG,0.61,NEG,0.7
No estoy de humor para tus bromas.,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",NEG,0.8,NEG,0.68
"No es que me importe, pero...",No me malinterpretes… ¡pero aprecio que preguntes!,POS,0.71,NEG,0.62
¡Déjame en paz un rato!,"Ay, cállate un poco, que me haces sonrojar.",NEU,0.95,NEU,0.74
No estoy de humor para tus bromas.,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",NEG,0.63,NEG,0.66
Estoy cansada de repetirlo.,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",POS,0.68,NEG,0.54
¡No sé cómo reaccionar ante esto!,No me malinterpretes… ¡pero aprecio que preguntes!,NEU,0.71,NEU,0.83
Siento que voy a explotar...,"No es que me duela, ¡solo me incomoda tu actitud!",POS,0.83,POS,0.62
No estoy de humor para tus bromas.,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEU,0.98,NEG,0.58
"No es que me importe, pero...","Está bien… gracias, supongo. ¡No te emociones!",NEG,0.79,NEG,0.59
¿Por qué no entiendes que me siento mal?,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEU,0.78,NEU,0.91
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.76,NEG,0.52
¡¿Por qué me miras tanto?!,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEU,0.54,NEU,0.61
No estoy de humor para tus bromas.,"Solo soy un poco dramática, no finjas que no te he dicho nada.",NEG,0.6,NEU,0.58
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEG,0.53,NEU,0.59
